Country,Country Code,Series,Series Code,1987Q1 [1987Q1],1987Q2 [1987Q2],1987Q3 [1987Q3],1987Q4 [1987Q4],1988Q1 [1988Q1],1988Q2 [1988Q2],1988Q3 [1988Q3],1988Q4 [1988Q4],1989Q1 [1989Q1],1989Q2 [1989Q2],1989Q3 [1989Q3],1989Q4 [1989Q4],1990Q1 [1990Q1],1990Q2 [1990Q2],1990Q3 [1990Q3],1990Q4 [1990Q4],1991Q1 [1991Q1],1991Q2 [1991Q2],1991Q3 [1991Q3],1991Q4 [1991Q4],1992Q1 [1992Q1],1992Q2 [1992Q2],1992Q3 [1992Q3],1992Q4 [1992Q4],1993Q1 [1993Q1],1993Q2 [1993Q2],1993Q3 [1993Q3],1993Q4 [1993Q4],1994Q1 [1994Q1],1994Q2 [1994Q2],1994Q3 [1994Q3],1994Q4 [1994Q4],1995Q1 [1995Q1],1995Q2 [1995Q2],1995Q3 [1995Q3],1995Q4 [1995Q4],1996Q1 [1996Q1],1996Q2 [1996Q2],1996Q3 [1996Q3],1996Q4 [1996Q4],1997Q1 [1997Q1],1997Q2 [1997Q2],1997Q3 [1997Q3],1997Q4 [1997Q4],1998Q1 [1998Q1],1998Q2 [1998Q2],1998Q3 [1998Q3],1998Q4 [1998Q4],1999Q1 [1999Q1],1999Q2 [1999Q2],1999Q3 [1999Q3],1999Q4 [1999Q4],2000Q1 [2000Q1],2000Q2 [2000Q2],2000Q3 [2000Q3],2000Q4 [2000Q4],2001Q1 [2001Q1],2001Q2 [2001Q2],2001Q3 [2001Q3],2001Q4 [2001Q4],2002Q1 [2002Q1],2002Q2 [2002Q2],2002Q3 [2002Q3],2002Q4 [2002Q4],2003Q1 [2003Q1],2003Q2 [2003Q2],2003Q3 [2003Q3],2003Q4 [2003Q4],2004Q1 [2004Q1],2004Q2 [2004Q2],2004Q3 [2004Q3],2004Q4 [2004Q4],2005Q1 [2005Q1],2005Q2 [2005Q2],2005Q3 [2005Q3],2005Q4 [2005Q4],2006Q1 [2006Q1],2006Q2 [2006Q2],2006Q3 [2006Q3],2006Q4 [2006Q4],2007Q1 [2007Q1],2007Q2 [2007Q2],2007Q3 [2007Q3],2007Q4 [2007Q4],2008Q1 [2008Q1],2008Q2 [2008Q2],2008Q3 [2008Q3],2008Q4 [2008Q4],2009Q1 [2009Q1],2009Q2 [2009Q2],2009Q3 [2009Q3],2009Q4 [2009Q4],2010Q1 [2010Q1],2010Q2 [2010Q2],2010Q3 [2010Q3],2010Q4 [2010Q4],2011Q1 [2011Q1],2011Q2 [2011Q2],2011Q3 [2011Q3],2011Q4 [2011Q4],2012Q1 [2012Q1],2012Q2 [2012Q2],2012Q3 [2012Q3],2012Q4 [2012Q4],2013Q1 [2013Q1],2013Q2 [2013Q2],2013Q3 [2013Q3],2013Q4 [2013Q4],2014Q1 [2014Q1],2014Q2 [2014Q2],2014Q3 [2014Q3],2014Q4 [2014Q4],2015Q1 [2015Q1],2015Q2 [2015Q2],2015Q3 [2015Q3],2015Q4 [2015Q4],2016Q1 [2016Q1],2016Q2 [2016Q2],2016Q3 [2016Q3],2016Q4 [2016Q4],2017Q1 [2017Q1],2017Q2 [2017Q2],2017Q3 [2017Q3],2017Q4 [2017Q4],2018Q1 [2018Q1],2018Q2 [2018Q2],2018Q3 [2018Q3],2018Q4 [2018Q4],2019Q1 [2019Q1],2019Q2 [2019Q2],2019Q3 [2019Q3],2019Q4 [2019Q4],2020Q1 [2020Q1],2020Q2 [2020Q2],2020Q3 [2020Q3],2020Q4 [2020Q4],2021Q1 [2021Q1],2021Q2 [2021Q2],2021Q3 [2021Q3],2021Q4 [2021Q4],2022Q1 [2022Q1],2022Q2 [2022Q2],2022Q3 [2022Q3],2022Q4 [2022Q4],2023Q1 [2023Q1],2023Q2 [2023Q2],2023Q3 [2023Q3],2023Q4 [2023Q4],2024Q1 [2024Q1],2024Q2 [2024Q2],2024Q3 [2024Q3],2024Q4 [2024Q4],2025Q1 [2025Q1],2025Q2 [2025Q2],2025Q3 [2025Q3],2025Q4 [2025Q4]
Advanced Economies,AME,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,6259391.59,6353604.379,6424815.612,6532161.807,6591618.605,6656009.914,6726130.077,6805309.871,6886761.394,6918783.149,6982440.236,7048272.22,7098495.965,7154696.229,7198131.65,7187671.079,7214438.747,7244049.135,7261979.67,7308872.738,7362679.167,7388571.584,7423521.986,7445366.473,7456772.202,7473134.54,7500285.307,7559888.459,7645776.622,7708579.828,7769897.884,7837340.487,7880108.028,7925360.127,7986431.187,8025174.818,8075484.483,8164205.466,8217280.117,8288391.586,8339464.36,8434832.561,8506548.82,8573493.033,8605746.029,8644562.414,8709358.395,8791810.524,8850317.21,8912392.501,9023049.862,9135347.548,9230025.853,9339640.735,9382699.674,9435898.797,9476138.314,9494881.429,9482164.612,9498886.162,9551356.686,9616445.76,9659100.785,9685242.04,9705411.098,9746197.933,9852222.203,9951615.348,10018424.79,10079630.4,10140887.57,10203523.46,10273922.51,10346089.03,10435842.58,10505361.83,10605062.81,10666206.2,10703344.62,10813243.54,10881859.03,10951548.43,11003743.81,11072481.25,11094906.7,11088314.52,11022533.9,10801724.11,10559173,10582785.93,10624545.84,10717786.49,10793665.09,10905205.88,10988278.51,11037644.74,11059867.86,11081832,11131450.87,11168837.72,11232956.11,11231565.09,11241396.66,11236610.4,11297785.92,11360429.12,11439154.48,11499190.4,11530612.41,11584375.04,11671837.37,11728207.93,11825831.49,11877607.09,11927236.03,11962090.5,12030083.03,12066860.57,12131720.19,12204416.6,12291313.69,12369551.06,12465888.5,12560447.74,12623294.32,12687690.47,12722755.8,12754599.88,12825989.48,12904408.07,12978697.76,12976850.98,12750315.55,11566791.86,12565063.81,12706579.05,12839788.26,13070576.28,13201161.31,13392177.23,13413100.16,13494440.03,13557383.08,13592863.49,13661033.14,13711143.99,13761507.75,13813958.44,13853827,13932469.33,14013094.29,14075498.09,14103071.76,14181243.01,..,..
Afghanistan,AFG,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1582.479075,1573.577416,1567.555971,1560.886478,1358.137478,1371.935499,1385.679515,1414.328635,1423.347302,1475.650172,1528.403074,1586.853399,1641.685455,1680.289311,1716.012954,1734.545325,1774.733298,1793.886715,1829.50235,1877.520903,1921.67817,1968.814657,1997.769799,2008.237574,2030.793242,2047.057445,2075.472548,2130.124591,2152.248228,2172.319713,2199.72674,2202.309931,2239.257665,2272.263107,2307.131686,2357.427407,2360.802657,2420.297059,2440.746571,2447.380062,2512.526882,2533.633443,2574.199445,2610.778151,2648.436937,2683.737548,2737.039492,2854.552186,2868.746236,2905.216934,2991.020282,2990.768263,3034.610507,3048.336522,2994.440535,2962.497172,3054.907008,3096.724102,3092.304775,3083.142097,3222.967442,3095.491011,3145.552714,3186.208722,3179.404219,3183.670534,3202.184904,3210.942552,3242.336875,3284.946027,3148.864959,3305.944581,3308.347758,3322.748824,3319.958617,3327.204153,3351.802973,3364.124885,3411.6394,3445.238886,3474.608059,3502.672135,3549.817623,3581.391959,3598.916255,3625.594229,3640.33732,3720.038216,3741.108775,3787.174183,3796.084842,3792.628586,3826.093062,3839.261036,3897.135318,3861.843707,3665.845207,3508.036532,3819.44157,3914.416597,3971.588826,4057.302168,4054.871988,4138.776195,4190.998059,4200.394754,4285.442046,4333.298586,4355.638239,4407.797098,4457.885804,4476.994217,4530.008139,4578.062694,4634.667882,4669.293444,4704.162024,4745.214061,..,..
Algeria,DZA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
